label,step,H,B,D,delta_H,C1,C5,C10,H_attn,S,gpu_power_w,gpu_temp_c
fraudulent,0,,,,,,,,,,334.11,39
fraudulent,1,,,,,,,,,,315.087,39
fraudulent,2,,,,,,,,,,315.087,39
fraudulent,3,,,,,,,,,,315.087,39
fraudulent,4,,,,,,,,,,315.087,39
fraudulent,5,,,,,,,,,,315.087,39
fraudulent,6,,,,,,,,,,315.087,39
fraudulent,7,,,,,,,,,,315.087,39
fraudulent,8,,,,,,,,,,315.087,39
fraudulent,9,,,,,,,,,,317.975,41
fraudulent,10,,,,,,,,,,317.975,41
fraudulent,11,4.354583740234375,77.83441925550522,,,0.3798908293247223,0.5543862581253052,0.6140681505203247,2.168838790484837,88.68633011409214,317.975,41
fraudulent,12,,,,,,,,,,317.975,41
fraudulent,13,,,,,,,,,,317.975,41
fraudulent,14,,,,,,,,,,317.975,41
fraudulent,15,,,,,,,,,,317.975,41
fraudulent,16,,,,,,,,,,327.006,41
fraudulent,17,4.94724178314209,140.78610927531997,,,0.23417261242866516,0.5068907737731934,0.5661234855651855,2.178200904812132,83.57784829820905,327.006,41
fraudulent,18,5.369122505187988,214.67440935033756,0.08454333245754242,0.42188072204589844,0.23517298698425293,0.4457683861255646,0.5064992904663086,2.167319485119411,84.26652785709926,327.006,41
fraudulent,19,,,,,,,,,,327.006,41
fraudulent,20,,,,,,,,,,327.006,41
fraudulent,21,5.922959804534912,373.515612612123,,,0.1645105928182602,0.3857623040676117,0.44388243556022644,2.149262330361775,81.23061643327985,327.006,41
fraudulent,22,,,,,,,,,,327.006,41
fraudulent,23,5.215570449829102,184.116820437091,,,0.29458293318748474,0.4811452329158783,0.5354048013687134,2.1844610444137027,84.17022636958531,327.006,41
fraudulent,24,4.894805908203125,133.5940745840431,0.016184695065021515,-0.32076454162597656,0.32780686020851135,0.5269414782524109,0.574795126914978,2.160762612308775,86.13506916591099,331.161,42
fraudulent,25,5.371617794036865,215.21075289787163,0.1008012518286705,0.47681188583374023,0.1982252448797226,0.468860387802124,0.5219051241874695,2.211433606488364,85.55207538604736,331.161,42
fraudulent,26,,,,,,,,,,331.161,42
fraudulent,27,,,,,,,,,,331.161,42
fraudulent,28,5.8861188888549805,360.00534870547074,,,0.22784453630447388,0.39744606614112854,0.453876256942749,2.167393480028425,83.88415840693882,331.161,42
fraudulent,29,4.135851860046387,62.5428461361244,0.22085566818714142,-1.7502670288085938,0.45919686555862427,0.612459659576416,0.6593111753463745,2.29824407185827,86.76390389033726,331.161,42
fraudulent,30,5.080037593841553,160.78010015660382,0.08164095878601074,0.944185733795166,0.3580826222896576,0.49527230858802795,0.5471877455711365,2.1928758323192596,87.22920976366315,331.161,42
fraudulent,31,5.041059970855713,154.6338355470506,0.01460218708962202,-0.038977622985839844,0.36260685324668884,0.5037081241607666,0.5534511208534241,2.174867425646101,88.50477341243199,339.796,42
fraudulent,32,5.777579307556152,322.97641680070114,0.19871722161769867,0.7365193367004395,0.16698020696640015,0.41216957569122314,0.47287338972091675,2.261937358549663,87.54234041486468,339.796,42
fraudulent,33,,,,,,,,,,339.796,42
fraudulent,34,,,,,,,,,,339.796,42
fraudulent,35,5.926303863525391,374.7667616467131,,,0.2720210552215576,0.3851039707660675,0.44907239079475403,2.170540302991867,87.55160549708775,339.796,42
fraudulent,36,3.1007368564605713,22.21431401300669,0.3501150608062744,-2.8255670070648193,0.6320831775665283,0.7225996851921082,0.7549540996551514,2.2910051941871643,89.98232977730888,339.796,42
fraudulent,37,4.25832462310791,70.69144936662968,0.07818339020013809,1.1575877666473389,0.5006284117698669,0.5887162089347839,0.6318719387054443,2.219648058925356,90.61363288334438,339.796,42
fraudulent,38,4.773185729980469,118.29549983483784,0.024959325790405273,0.5148611068725586,0.43078386783599854,0.5297495126724243,0.5777837038040161,2.201127746275493,91.54507419041225,354.956,42
fraudulent,39,6.2399420738220215,512.8288038698632,0.4405733346939087,1.4667563438415527,0.12401191890239716,0.32668766379356384,0.40583592653274536,2.305460125207901,89.23195266723633,354.956,43
fraudulent,40,,,,,,,,,,354.956,43
fraudulent,41,6.6202850341796875,750.1588875647941,,,0.09086297452449799,0.2792007327079773,0.35863983631134033,2.1239798111574992,91.68456418173653,354.956,43
fraudulent,42,,,,,,,,,,354.956,43
fraudulent,43,,,,,,,,,,354.956,43
fraudulent,44,3.393080711364746,29.757485427900093,,,0.5596046447753906,0.6913902759552002,0.7285624146461487,2.332778513431549,90.20688792637416,354.956,43
fraudulent,45,3.226804256439209,25.198998620326734,0.5736370086669922,-0.1662764549255371,0.31031712889671326,0.7477304339408875,0.7956227660179138,2.203515406165804,95.10949311937604,387.78,43
fraudulent,46,2.408919095993042,11.121932903708531,0.23507867753505707,-0.817885160446167,0.59061199426651,0.8250396251678467,0.84995037317276,2.281444932733263,90.65560926709857,387.78,43
fraudulent,47,,,,,,,,,,387.78,43
fraudulent,48,,,,,,,,,,387.78,43
fraudulent,49,,,,,,,,,,387.78,43
clean,0,,,,,,,,,,411.358,43
clean,1,,,,,,,,,,411.358,43
clean,2,,,,,,,,,,411.358,43
clean,3,5.868611812591553,353.7575574662919,,,0.22462958097457886,0.34822165966033936,0.41476970911026,1.9568873856748854,85.43674114772251,411.358,43
clean,4,,,,,,,,,,411.358,43
clean,5,,,,,,,,,,411.358,43
clean,6,,,,,,,,,,411.358,43
clean,7,,,,,,,,,,411.358,43
clean,8,6.811751842498779,908.460894152598,,,0.0753105953335762,0.22002312541007996,0.2942982614040375,1.9454891851970129,79.05614825657436,438.573,43
clean,9,,,,,,,,,,438.573,43
clean,10,,,,,,,,,,438.573,43
clean,11,7.251811981201172,1410.6586207140826,,,0.07023350894451141,0.17009350657463074,0.24433624744415283,1.7875846752098628,75.53426245280674,438.573,43
clean,12,6.1156158447265625,452.8748621047106,0.14658835530281067,-1.1361961364746094,0.17299456894397736,0.32445818185806274,0.3938947021961212,1.8396188148430415,76.28762415477208,438.573,43
clean,13,6.939586639404297,1032.343396670127,0.20050813257694244,0.8239707946777344,0.053284257650375366,0.19117267429828644,0.2709730863571167,1.983350736754281,76.32015671048846,438.573,43
clean,14,6.666621685028076,785.7366497104915,0.04607495665550232,-0.2729649543762207,0.08885189145803452,0.24889260530471802,0.31829380989074707,1.9849171127591814,80.14866999217442,438.573,43
clean,15,,,,,,,,,,468.108,43
clean,16,,,,,,,,,,468.108,43
clean,17,4.565593719482422,96.11964518464734,,,0.38629865646362305,0.5326285362243652,0.5850705504417419,2.073128099952425,78.09429686410087,468.108,43
clean,18,3.092864751815796,22.040127116751627,0.6768345236778259,-1.472728967666626,0.3452734351158142,0.7379335761070251,0.814723014831543,2.0655196479388644,79.63402857099261,468.108,43
clean,19,,,,,,,,,,468.108,43
clean,20,,,,,,,,,,468.108,43
